fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
original,shortest_path_lengths,False,607780,150186,0,0,0,999999,999999,260,0.6483790523690773,6,0.014962593516209476
original,shortest_path_lengths,False,626134,256893,0,0,0,999999,999999,276,0.6882793017456359,2,0.004987531172069825
original,shortest_path_lengths,False,784104,546564,0,0,0,999999,999999,253,0.6309226932668329,4,0.00997506234413965
original,shortest_path_lengths,False,786124,162424,0,0,0,999999,999999,247,0.6159600997506235,5,0.012468827930174564
original,shortest_path_lengths,False,819642,997758,0,0,0,999999,999999,252,0.628428927680798,7,0.017456359102244388
original,shortest_path_lengths,False,841317,627447,0,0,0,999999,999999,226,0.5635910224438903,4,0.00997506234413965
original,shortest_path_lengths,False,842146,736652,0,0,0,999999,999999,189,0.4713216957605985,13,0.032418952618453865
original,shortest_path_lengths,False,850784,495541,0,0,0,999999,999999,201,0.5012468827930174,6,0.014962593516209476
original,shortest_path_lengths,False,870058,763977,0,0,0,999999,999999,205,0.5112219451371571,4,0.00997506234413965
original,shortest_path_lengths,False,876508,117298,0,0,0,999999,999999,275,0.685785536159601,3,0.007481296758104738
original,shortest_path_lengths,False,938424,578186,0,0,0,999999,999999,290,0.7231920199501247,4,0.00997506234413965
